Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
140,0.5718254,12,6,1
225,0.615873,14,4,1
250,0.5993387,5,3,1
223,0.5755291,15,4,1
129,0.5830688,10,4,1
109,0.6013228,14,7,1
201,0.5813492,13,6,3
244,0.6002645,12,4,1
149,0.5777778,10,4,1
230,0.5911376,10,3,1
146,0.5783069,9,7,1
188,0.5941799,6,3,1
185,0.605291,10,5,1
179,0.5825397,9,6,8
155,0.5887566,15,6,1
183,0.568783,13,6,1
147,0.6084656,10,5,1
219,0.5768518,11,3,1
167,0.5755291,7,5,1
159,0.6013228,11,6,1
