Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
0,0.5361111,6,0,2
0,0.519709,14,0,3
0,0.5248677,15,0,3
0,0.5271164,4,0,2
0,0.5287037,7,0,3
2,0.614418,6,4,1
3,0.5675926,11,8,1
1,0.534127,4,4,1
1,0.5613757,11,4,1
0,0.5308201,6,4,3
0,0.5424603,14,4,2
0,0.5525132,11,4,2
0,0.5455027,9,4,3
0,0.5915344,3,4,2
1,0.5544974,5,3,8
1,0.5452381,7,7,2
0,0.5490741,5,7,2
1,0.5609788,5,3,2
0,0.5273809,11,3,2
1,0.5386243,3,15,2
