Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
174,0.5992063,3,3,1
260,0.5854498,9,5,1
261,0.5832011,9,4,1
249,0.6117725,8,3,1
223,0.572619,12,3,1
150,0.5933862,12,6,1
266,0.5882275,12,3,1
138,0.5809524,15,3,1
196,0.6148148,9,3,1
232,0.606746,10,5,1
215,0.5907407,11,5,1
108,0.5702381,13,4,1
213,0.6041005,11,5,1
216,0.573545,11,5,1
157,0.5674603,15,6,1
112,0.5578042,13,5,1
156,0.5835979,7,4,1
150,0.5732805,10,5,1
217,0.6010582,15,3,1
212,0.5928571,7,4,1
