Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
286,0.6056879,8,3,1
200,0.5923281,11,6,1
279,0.5949736,8,4,2
183,0.6006614,12,5,1
286,0.594709,15,4,1
313,0.6026455,10,4,1
202,0.5689154,13,4,1
80,0.5689154,6,4,1
197,0.5940476,14,6,1
243,0.5958995,6,5,1
272,0.5859789,7,2,1
181,0.5730159,14,5,1
147,0.5671958,15,6,1
151,0.6088625,11,3,1
223,0.5798942,10,4,3
224,0.5818783,10,6,1
272,0.5719576,13,4,1
231,0.5710317,14,5,1
173,0.569709,15,3,1
130,0.5707672,9,4,1
