Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
1,0.5555556,7,9,7
4,0.55291,7,5,2
0,0.5417989,12,5,3
1,0.5280423,6,3,6
0,0.5493386,3,3,4
0,0.5354497,7,3,2
1,0.5623016,7,9,2
3,0.5596561,14,9,1
2,0.5633598,7,6,8
3,0.5829365,15,6,1
0,0.5748677,15,6,2
0,0.5359789,15,6,3
0,0.5847884,7,6,2
6,0.5805556,13,1,1
0,0.5587302,8,1,2
3,0.5660053,10,4,2
4,0.5667989,5,2,1
2,0.5646825,4,1,1
5,0.5940476,8,4,1
0,0.5347884,14,4,15
