Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
189,0.5305948,20,11
403,0.5427142,16,9
82,0.532009,18,15
451,0.5398878,16,8
181,0.5347213,20,12
175,0.5600187,20,13
105,0.5401216,17,13
67,0.5237018,20,14
360,0.5328096,20,10
228,0.536431,19,11
240,0.5465581,19,12
320,0.5425533,19,11
204,0.5484157,17,14
146,0.5380976,17,13
188,0.5365039,19,12
86,0.5401983,19,14
207,0.5326824,20,12
353,0.5387262,18,11
292,0.5284474,15,10
128,0.5274822,20,12
