Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
96,0.544438,0.4259259,10,8
91,0.5112911,0.7166666,9,9
14,0.5202932,0.8172839,8,8
38,0.5164738,0.8378959,9,9
22,0.5228459,0.7974536,10,10
47,0.5304527,0.838306,10,10
40,0.5144162,0.8169191,9,9
48,0.5105003,0.8232871,12,12
18,0.5119148,0.8386909,12,12
45,0.526376,0.8393981,10,10
54,0.5163259,0.8295122,11,11
29,0.5219907,0.8395063,11,11
91,0.5260674,0.8389988,9,9
30,0.5192258,0.8410494,10,10
55,0.5317451,0.8211983,8,8
80,0.513188,0.8386523,8,8
50,0.5222222,0.8354514,9,9
18,0.5161523,0.8346925,12,12
0,0,0,12,12
79,0.5244085,0.8333333,6,6
