Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
577,0.6253086,13,2,1
596,0.7004629,8,1,1
615,0.6549383,8,2,1
503,0.6320988,20,3,1
489,0.6472222,18,3,1
521,0.6408179,5,2,1
488,0.6297839,4,3,1
521,0.6265432,15,1,1
530,0.6457562,4,2,1
494,0.6386574,9,2,1
539,0.6557871,7,2,3
478,0.6199846,17,2,1
559,0.6728395,17,2,3
538,0.6604939,17,3,1
591,0.6864969,11,1,1
574,0.6635802,8,1,2
452,0.6161265,6,2,1
491,0.6920525,11,2,1
565,0.6292439,4,2,4
574,0.6500772,8,2,1
