Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
510,0.5596682,0.6747369,20,3
478,0.541983,0.8009524,5,4
475,0.5503858,0.8325713,3,3
432,0.5135803,0.8411318,1,1
467,0.5385108,0.8236842,4,3
514,0.5457562,0.8342856,3,3
419,0.5445988,0.8377982,3,3
383,0.5228627,0.831818,5,2
484,0.5411265,0.8240784,5,3
462,0.5477932,0.8328047,3,3
479,0.5393904,0.8262638,3,3
350,0.5228627,0.8324749,4,4
394,0.5488194,0.8303167,6,4
383,0.5463349,0.8324379,6,4
395,0.5318441,0.8391235,4,4
503,0.5566435,0.831795,4,3
422,0.5754861,0.831973,5,4
438,0.5602855,0.8433444,1,1
454,0.5245988,0.8370211,6,2
515,0.5295293,0.8375143,3,1
