Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
469,0.5970899,8,2,1
473,0.6083333,12,4,1
322,0.5858465,6,4,1
345,0.5944445,20,5,2
388,0.5916667,17,5,7
417,0.5935185,13,3,1
437,0.6177249,19,4,5
462,0.6056879,19,4,1
422,0.5931217,14,4,1
397,0.5962963,16,6,5
412,0.6137566,18,5,6
388,0.5846561,17,5,1
379,0.6051587,11,6,1
351,0.6358466,19,7,1
469,0.5914021,14,3,1
412,0.5812169,16,5,1
440,0.5986773,18,3,1
346,0.5982804,7,6,4
322,0.5962963,18,4,1
328,0.5892857,16,7,8
