Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
480,0.6018287,7,3,1
454,0.6001157,13,4,1
462,0.6329476,7,3,1
456,0.6186343,17,5,1
467,0.5949074,18,4,1
465,0.6267361,16,4,1
501,0.6165972,18,4,1
447,0.6012732,18,4,5
450,0.615162,17,4,1
453,0.6174768,19,4,2
510,0.6018518,6,3,1
446,0.5989583,16,5,4
512,0.6267361,14,2,1
405,0.6244213,13,4,3
501,0.6032639,7,2,1
452,0.6053009,7,3,1
416,0.6385031,15,4,1
466,0.6280864,19,3,3
444,0.5972222,18,5,1
519,0.6376234,8,4,1
