Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
73,0.5292631,15,11
137,0.5363426,14,8
1,0.5147634,15,15
31,0.5341114,15,12
47,0.5419946,14,10
66,0.5354617,9,8
27,0.5357253,15,10
30,0.530144,14,13
237,0.5641011,14,5
46,0.5375322,15,10
19,0.5455504,15,11
66,0.5368891,13,10
22,0.5367541,15,11
68,0.5428627,13,9
0,0,13,9
17,0.5346965,15,10
20,0.5468107,14,12
4,0.52183,10,7
190,0.5420461,14,7
30,0.5279128,15,8
