Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
667,0.5956349,14,4
541,0.5919312,14,6
646,0.590873,16,7
546,0.587963,17,6
688,0.596164,15,6
769,0.5939153,13,2
684,0.5837302,18,5
602,0.5871693,15,5
718,0.5828042,19,5
697,0.5751323,14,3
721,0.587963,18,4
827,0.593254,9,3
778,0.5716931,14,5
741,0.5816138,14,4
728,0.5957672,18,4
845,0.6075397,8,3
739,0.6230159,19,4
751,0.5892857,20,1
715,0.5751323,12,5
680,0.6075397,20,3
