Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
394,0.5857899,11,4
345,0.5854493,14,5
313,0.5616063,15,5
275,0.5998973,15,5
196,0.5661789,15,6
326,0.5675804,10,7
299,0.5699464,15,6
175,0.6298678,15,7
274,0.5664171,8,4
239,0.5625905,10,6
116,0.5557681,13,8
183,0.5580121,13,8
151,0.5621988,14,8
290,0.5645137,8,3
147,0.5652459,14,8
147,0.5679977,15,6
236,0.5679977,15,7
374,0.5845813,11,7
245,0.5711294,14,7
360,0.5586616,15,4
