Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
345,0.5141094,0.55625,6,3
299,0.5359577,0.8572049,8,8
170,0.5225006,0.8023201,12,12
210,0.52166,0.8335937,8,8
271,0.5227624,0.8256191,6,6
274,0.5123044,0.8320313,6,6
272,0.5231619,0.8204963,10,10
241,0.5108024,0.8313664,8,8
256,0.517554,0.8302035,8,8
292,0.5190972,0.8350912,8,8
257,0.5198734,0.8290509,8,8
201,0.5121666,0.8325664,8,8
133,0.5193177,0.8414406,8,8
276,0.5194739,0.8308503,7,7
280,0.5244847,0.8320733,9,9
199,0.5228037,0.8372001,10,10
185,0.5354249,0.833433,9,9
257,0.5197173,0.8376892,8,8
107,0.5252471,0.8426816,5,5
208,0.5055941,0.8356904,11,10
