Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
516,0.5414352,0.7146739,20,1
466,0.5584877,0.81875,2,2
558,0.5629629,0.8061079,5,2
444,0.5423611,0.8119877,5,4
514,0.5506945,0.83875,3,3
499,0.5638889,0.8393817,2,2
501,0.5733796,0.8348214,2,2
461,0.5451389,0.8344465,2,2
516,0.5773148,0.8340872,3,3
515,0.5743055,0.8340941,8,2
492,0.5717593,0.8319079,4,3
502,0.5733796,0.8285024,4,4
589,0.5564815,0.8298913,6,2
505,0.6047068,0.8350765,4,2
588,0.5726852,0.8331345,2,2
534,0.5715278,0.8376311,7,2
536,0.5393518,0.8342525,7,1
492,0.5421296,0.8380503,1,1
485,0.5423611,0.8365942,5,2
557,0.5469908,0.8387431,3,2
,0.56056713,,,
