Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
396,0.5910691,13,5,2
375,0.5860733,8,4,1
318,0.6004248,14,6,1
438,0.5815972,20,7,1
399,0.5891854,10,7,1
407,0.5876874,8,6,1
337,0.5846974,11,7,1
394,0.6059028,20,6,1
365,0.5835203,9,5,1
497,0.5743575,9,3,1
332,0.5859316,15,6,1
480,0.5650077,20,4,1
417,0.5855005,12,8,1
365,0.5661139,17,6,1
350,0.5828905,13,6,1
417,0.5688598,14,5,1
348,0.5795856,9,7,1
372,0.5678579,5,6,1
396,0.5640177,19,7,1
384,0.564738,15,7,1
