Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual
867,0.6483025,9,3
893,0.6381173,3,1
852,0.6691358,15,2
926,0.6749228,4,1
870,0.6587191,10,2
886,0.6587191,14,1
936,0.6302469,19,3
1015,0.6503087,13,1
1004,0.6454476,19,1
937,0.6265432,16,2
848,0.6675155,20,2
864,0.6558642,10,2
1031,0.6654321,12,2
898,0.6691358,13,1
813,0.6567901,12,4
1060,0.6929013,20,1
970,0.6341821,5,1
847,0.6265432,13,2
929,0.6728395,8,2
931,0.6378858,5,1
