Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
89,0.5319389,0.4229025,14,9
188,0.5543095,0.8221574,4,4
114,0.5218766,0.8549946,7,7
117,0.5192015,0.8491254,6,6
81,0.5110938,0.8439851,8,8
129,0.5107336,0.8433895,5,5
143,0.5291871,0.8232445,7,7
197,0.508779,0.831942,6,6
145,0.5232525,0.8261529,7,4
122,0.5194909,0.8230519,7,7
161,0.5220951,0.8297917,6,6
186,0.5661789,0.8345411,5,5
109,0.5294057,0.8265307,8,8
166,0.5201405,0.836575,5,5
131,0.5298564,0.837852,4,4
152,0.5400408,0.8268662,7,6
82,0.5112414,0.8387885,6,6
166,0.5411982,0.8393296,7,5
108,0.5365174,0.8404194,9,9
151,0.5135562,0.8358068,6,6
