Number of Feasible individuals,Fittest Individual Fitness,Generation of Fittest Individual,Generation of First Feasible Individual,Connected Components
164,0.5678461,16,11,1
338,0.5769401,19,8,1
290,0.5675752,20,5,1
311,0.5700737,18,8,1
245,0.5540124,20,6,1
218,0.5682043,20,9,1
233,0.5768114,14,5,1
250,0.5703446,20,8,1
137,0.5712678,17,9,1
325,0.5800127,10,7,1
246,0.5789196,14,9,11
300,0.5654441,19,6,1
259,0.5606858,14,6,1
224,0.5726641,20,8,1
163,0.5708177,20,10,1
186,0.5680666,19,6,1
164,0.5579439,15,10,1
235,0.5553489,11,9,1
231,0.5606353,18,8,1
179,0.566753,19,11,1
