Linearity,Explorability,Challenge,Average all,Average LC
0.1875,0.53125,0.6074074,0.442052467,0.3974537
0.25,0.5625,0.6185185,0.477006167,0.43425925
0.25,0.53125,0.4648148,0.415354933,0.3574074
0.1875,0.53125,0.4814815,0.400077167,0.33449075
0.3125,0.65625,0.3138889,0.4275463,0.31319445
0.25,0.6875,0.4333333,0.456944433,0.34166665
0.3125,0.53125,0.4962963,0.4466821,0.40439815
0.3125,0.59375,0.4925926,0.466280867,0.4025463
0.1875,0.6875,0.4648148,0.446604933,0.3261574
0.1875,0.625,0.325,0.379166667,0.25625
0.1875,0.53125,0.5185185,0.412422833,0.35300925
0.1875,0.625,0.3962963,0.4029321,0.29189815
0.375,0.65625,0.387963,0.473071,0.3814815
0.4375,0.6875,0.3796296,0.5015432,0.4085648
0.3125,0.59375,0.3851852,0.4304784,0.3488426
0.25,0.65625,0.3703704,0.425540133,0.3101852
0.1875,0.53125,0.5018519,0.4068673,0.34467595
0.3125,0.65625,0.4648148,0.477854933,0.3886574
0.25,0.625,0.5907407,0.488580233,0.42037035
0.375,0.65625,0.3962963,0.475848767,0.38564815
0.3125,0.65625,0.3962963,0.455015433,0.35439815
0.25,0.5625,0.462037,0.424845667,0.3560185
0.1875,0.59375,0.4388889,0.406712967,0.31319445
0.4375,0.65625,0.3962963,0.4966821,0.41689815
0.25,0.5625,0.6018519,0.471450633,0.42592595
0.1875,0.625,0.3851852,0.3992284,0.2863426
0.3125,0.625,0.4907407,0.476080233,0.40162035
0.1875,0.5625,0.612963,0.454321,0.4002315
0.25,0.53125,0.587963,0.456404333,0.4189815
0.3125,0.71875,0.4685185,0.499922833,0.39050925
0.1875,0.5625,0.5185185,0.4228395,0.35300925
0.375,0.625,0.5481482,0.5160494,0.4615741
0.25,0.65625,0.5074074,0.471219133,0.3787037
0.25,0.6875,0.4074074,0.448302467,0.3287037
0.1875,0.6875,0.3425926,0.4058642,0.2650463
0.25,0.53125,0.4768519,0.4193673,0.36342595
0.25,0.625,0.4685185,0.4478395,0.35925925
0.3125,0.59375,0.4842592,0.463503067,0.3983796
0.3125,0.6875,0.4685185,0.489506167,0.39050925
0.25,0.59375,0.4814815,0.441743833,0.36574075
0.25,0.65625,0.3962963,0.4341821,0.32314815
0.1875,0.59375,0.4740741,0.418441367,0.33078705
0.25,0.5625,0.4962963,0.436265433,0.37314815
0.1875,0.53125,0.487963,0.402237667,0.3377315
0.1875,0.5625,0.3814815,0.3771605,0.28449075
0.3125,0.625,0.5074074,0.4816358,0.4099537
0.25,0.59375,0.6212963,0.488348767,0.43564815
0.3125,0.65625,0.487963,0.485571,0.4002315
0.3125,0.625,0.4648148,0.467438267,0.3886574
0.1875,0.59375,0.3796296,0.386959867,0.2835648
